"Pickup.Community.Area","count","freq","COMMUNITY"
1,42294,0.37,"ROGERS PARK"
2,35512,0.31,"WEST RIDGE"
3,110235,0.97,"UPTOWN"
4,37557,0.33,"LINCOLN SQUARE"
5,22646,0.2,"NORTH CENTER"
6,369547,3.24,"LAKE VIEW"
7,242809,2.13,"LINCOLN PARK"
8,3602660,31.61,"NEAR NORTH SIDE"
9,706,0.01,"EDISON PARK"
10,7317,0.06,"NORWOOD PARK"
11,23143,0.2,"JEFFERSON PARK"
12,3408,0.03,"FOREST GLEN"
13,7790,0.07,"NORTH PARK"
14,23548,0.21,"ALBANY PARK"
15,11952,0.1,"PORTAGE PARK"
16,32582,0.29,"IRVING PARK"
17,3402,0.03,"DUNNING"
18,952,0.01,"MONTCLARE"
19,5441,0.05,"BELMONT CRAGIN"
20,2464,0.02,"HERMOSA"
21,14709,0.13,"AVONDALE"
22,36714,0.32,"LOGAN SQUARE"
23,6963,0.06,"HUMBOLDT PARK"
24,110333,0.97,"WEST TOWN"
25,7139,0.06,"AUSTIN"
26,1557,0.01,"WEST GARFIELD PARK"
27,4259,0.04,"EAST GARFIELD PARK"
28,1342473,11.78,"NEAR WEST SIDE"
29,3984,0.03,"NORTH LAWNDALE"
30,2417,0.02,"SOUTH LAWNDALE"
31,6207,0.05,"LOWER WEST SIDE"
32,3337500,29.28,"LOOP"
33,337514,2.96,"NEAR SOUTH SIDE"
34,13250,0.12,"ARMOUR SQUARE"
35,20522,0.18,"DOUGLAS"
36,3266,0.03,"OAKLAND"
37,1579,0.01,"FULLER PARK"
38,9323,0.08,"GRAND BOULEVARD"
39,13518,0.12,"KENWOOD"
40,2699,0.02,"WASHINGTON PARK"
41,37581,0.33,"HYDE PARK"
42,7167,0.06,"WOODLAWN"
43,10228,0.09,"SOUTH SHORE"
44,7214,0.06,"CHATHAM"
45,2094,0.02,"AVALON PARK"
46,3991,0.04,"SOUTH CHICAGO"
47,1125,0.01,"BURNSIDE"
48,2791,0.02,"CALUMET HEIGHTS"
49,5728,0.05,"ROSELAND"
50,1548,0.01,"PULLMAN"
51,2342,0.02,"SOUTH DEERING"
52,536,0,"EAST SIDE"
53,3467,0.03,"WEST PULLMAN"
54,639,0.01,"RIVERDALE"
55,471,0,"HEGEWISCH"
56,249079,2.19,"GARFIELD RIDGE"
57,724,0.01,"ARCHER HEIGHTS"
58,1115,0.01,"BRIGHTON PARK"
59,4354,0.04,"MCKINLEY PARK"
60,4124,0.04,"BRIDGEPORT"
61,2643,0.02,"NEW CITY"
62,887,0.01,"WEST ELSDON"
63,746,0.01,"GAGE PARK"
64,825,0.01,"CLEARING"
65,922,0.01,"WEST LAWN"
66,1925,0.02,"CHICAGO LAWN"
67,1848,0.02,"WEST ENGLEWOOD"
68,3095,0.03,"ENGLEWOOD"
69,5078,0.04,"GREATER GRAND CROSSING"
70,2347,0.02,"ASHBURN"
71,4749,0.04,"AUBURN GRESHAM"
72,969,0.01,"BEVERLY"
73,3851,0.03,"WASHINGTON HEIGHTS"
74,346,0,"MOUNT GREENWOOD"
75,2452,0.02,"MORGAN PARK"
76,1073475,9.42,"OHARE"
77,83639,0.73,"EDGEWATER"
